,id,lat,lng,name
0,0,53341428,-6246720,Fenian Street
1,1,53346637,-6246154,City Quay
2,2,53335211,-6250900,Fitzwilliam Square East
3,3,53339005,-6300217,Brookfield Road
4,4,53340714,-6308191,Emmet Road
5,5,53338776,-6303950,Rothe Abbey
6,6,53350291,-6273507,King Street North
7,7,53346874,-6272976,Greek Street
8,8,53354929,-6269425,Western Way
9,9,53330662,-6260177,Charlemont Place
10,10,53347972,-6291804,Parkgate Street
11,11,53343565,-6275071,High Street
12,12,53347106,-6292041,Heuston Bridge (South)
13,13,53330362,-6265163,Portobello Harbour
14,14,53358115,-6265601,Eccles Street East
15,15,53339434,-6246548,Merrion Square East
16,16,53347692,-6278214,Smithfield
17,17,53330091,-6268044,Portobello Road
18,18,53347884,-6248048,Custom House Quay
19,19,53339764,-6251988,Merrion Square West
20,20,53357043,-6263232,Hardwicke Place
21,21,53337824,-6256035,St. Stephen'S Green East
22,22,53341288,-6258117,Molesworth Street
23,23,53358437,-6260641,Upper Sherrard Street
24,24,53356299,-6258586,Mountjoy Square West
25,25,53346026,-6243576,Lime Street
26,26,53343034,-6263578,Exchequer Street
27,27,53346057,-6268001,Ormond Quay Upper
28,28,53347122,-6234749,New Central Bank
29,29,53344007,-6266802,Dame Street
30,30,53353462,-6265305,Parnell Square North
31,31,53351464,-6255265,Deverell Place
32,32,53334019,-6258371,Earlsfort Terrace
33,33,53351182,-6269859,Bolton Street
34,34,53336485,-6248174,James Street East
35,35,53359246,-6269779,Eccles Street
36,36,53352149,-6260533,Cathal Brugha Street
37,37,53347082,-6264192,Strand Street Great
38,38,53336074,-6252825,Fitzwilliam Square West
39,39,53344603,-6263371,Fownes Street Upper
40,40,53335742,-6245510,Herbert Street
41,41,53350929,-6265125,Parnell Street
42,42,53337494,-6261990,St. Stephen'S Green South
43,43,53344304,-6250427,Pearse Street
44,44,53347777,-6244239,Excise Walk
45,45,53350974,-6252940,Talbot Street
46,46,53348279,-6254662,Custom House
47,47,53347508,-6252192,Georges Quay
48,48,53342180,-6254485,Leinster Street South
49,49,53332383,-6252717,Wilton Terrace
50,50,53345922,-6254614,Townsend Street
51,51,53348300,-6266651,Jervis Street
52,52,53346603,-6296924,Heuston Station (Central)
53,53,53349562,-6278198,Smithfield North
54,54,53337757,-6267699,Kevin Street
55,55,53337132,-6260590,Newman House
56,56,53345203,-6247163,Sandwith Street
57,57,53337960,-6241530,Mount Street Lower
58,58,53344115,-6237153,Hanover Quay
59,59,53343368,-6270120,Christchurch Place
60,60,53339218,-6240642,Sir Patrick Dun'S
61,61,53347932,-6240928,Guild Street
62,62,53339334,-6264699,York Street West
63,63,53332763,-6257942,Harcourt Terrace
64,64,53338755,-6262003,York Street East
65,65,53341359,-6292951,St James Hospital (Luas)
66,66,53336021,-6262980,Clonmel Street
67,67,53343105,-6277167,John Street West
68,68,53343456,-6287409,James Street
69,69,53342296,-6287661,Market Street South
70,70,53359967,-6264828,Mater Hospital
71,71,53347440,-6238523,Convention Centre
72,72,53349013,-6260311,Princes Street / O'Connell Street
73,73,53348875,-6267459,Wolfe Tone Street
74,74,53343893,-6280531,Oliver Bond Street
75,75,53341655,-6236198,Barrow Street
76,76,53334432,-6245575,Herbert Place
77,77,53342638,-6238695,Grand Canal Dock
78,78,53355610,-6261397,Denmark Street Great
79,79,53342081,-6275233,Francis Street
80,80,53359624,-6260348,North Circular Road
81,81,53346867,-6230852,The Point
82,82,53341805,-6305085,Kilmainham Lane
83,83,53356769,-6268140,Blessington Street
84,84,53343897,-6297060,Royal Hospital
85,85,53347477,-6285250,Collins Barracks Museum
86,86,53348800,-6281637,Blackhall Place
87,87,53342113,-6310015,Kilmainham Gaol
88,88,53346985,-6297804,Heuston Station (Car Park)
89,89,53344153,-6233451,Benson Street
90,90,53341515,-6256853,Frederick Street South
91,91,53341833,-6231291,South Dock Road
92,92,53339983,-6295594,St. James Hospital (Central)
93,93,53347802,-6292432,Heuston Bridge (North)
94,94,53341645,-6297190,Mount Brown
95,95,53340962,-6262287,Chatham Street
96,96,53334123,-6265436,Grantham Street
97,97,53339629,-6243778,Grattan Street
98,98,53355473,-6264423,Hardwicke Street
99,99,53334030,-6260714,Hatch Street
100,100,53340803,-6267732,Golden Lane
