,bikes,free,id,idx,lat,lng,name,number,timestamp,time
0,22,13,0,0,53341428,-6246720,Fenian Street,63,2015-09-13T15:44:36.089Z,20150913154806
1,28,2,1,1,53346637,-6246154,City Quay,99,2015-09-13T15:44:36.188Z,20150913154806
2,2,38,2,2,53335211,-6250900,Fitzwilliam Square East,89,2015-09-13T15:44:36.453Z,20150913154806
3,2,28,3,3,53339005,-6300217,Brookfield Road,84,2015-09-13T15:44:36.959Z,20150913154806
4,6,34,4,4,53340714,-6308191,Emmet Road,83,2015-09-13T15:44:37.025Z,20150913154806
5,9,26,5,5,53338776,-6303950,Rothe Abbey,85,2015-09-13T15:44:37.107Z,20150913154806
6,0,30,6,6,53350291,-6273507,King Street North,101,2015-09-13T15:44:37.167Z,20150913154806
7,0,20,7,7,53346874,-6272976,Greek Street,4,2015-09-13T15:47:18.053Z,20150913154806
8,15,25,8,8,53354929,-6269425,Western Way,102,2015-09-13T15:44:37.269Z,20150913154806
9,22,18,9,9,53330662,-6260177,Charlemont Place,5,2015-09-13T15:47:18.12Z,20150913154806
10,0,38,10,10,53347972,-6291804,Parkgate Street,86,2015-09-13T15:44:37.569Z,20150913154806
11,6,23,11,11,53343565,-6275071,High Street,7,2015-09-13T15:47:18.177Z,20150913154806
12,8,17,12,12,53347106,-6292041,Heuston Bridge (South),100,2015-09-13T15:44:37.877Z,20150913154806
13,14,16,13,13,53330362,-6265163,Portobello Harbour,34,2015-09-13T15:47:18.228Z,20150913154806
14,7,20,14,14,53358115,-6265601,Eccles Street East,79,2015-09-13T15:47:17.926Z,20150913154806
15,4,26,15,15,53339434,-6246548,Merrion Square East,25,2015-09-13T15:44:37.929Z,20150913154806
16,0,30,16,16,53347692,-6278214,Smithfield,35,2015-09-13T15:47:18.283Z,20150913154806
17,4,26,17,17,53330091,-6268044,Portobello Road,43,2015-09-13T15:47:17.986Z,20150913154806
18,27,3,18,18,53347884,-6248048,Custom House Quay,8,2015-09-13T15:47:18.334Z,20150913154806
19,15,5,19,19,53339764,-6251988,Merrion Square West,26,2015-09-13T15:44:37.994Z,20150913154806
20,10,15,20,20,53357043,-6263232,Hardwicke Place,61,2015-09-13T15:47:18.03Z,20150913154806
21,33,7,21,21,53337824,-6256035,St. Stephen'S Green East,36,2015-09-13T15:47:18.389Z,20150913154806
22,17,3,22,22,53341288,-6258117,Molesworth Street,27,2015-09-13T15:44:38.086Z,20150913154806
23,20,10,23,23,53358437,-6260641,Upper Sherrard Street,44,2015-09-13T15:47:18.079Z,20150913154806
24,0,30,24,24,53356299,-6258586,Mountjoy Square West,28,2015-09-13T15:44:38.191Z,20150913154806
25,32,8,25,25,53346026,-6243576,Lime Street,62,2015-09-13T15:47:18.125Z,20150913154806
26,8,16,26,26,53343034,-6263578,Exchequer Street,9,2015-09-13T15:47:18.447Z,20150913154806
27,29,0,27,27,53346057,-6268001,Ormond Quay Upper,29,2015-09-13T15:44:38.276Z,20150913154806
28,7,33,28,28,53347122,-6234749,New Central Bank,66,2015-09-13T15:47:18.176Z,20150913154806
29,12,4,29,29,53344007,-6266802,Dame Street,10,2015-09-13T15:47:18.491Z,20150913154806
30,8,12,30,30,53353462,-6265305,Parnell Square North,30,2015-09-13T15:44:38.375Z,20150913154806
31,15,15,31,31,53351464,-6255265,Deverell Place,45,2015-09-13T15:47:18.226Z,20150913154806
32,4,26,32,32,53334019,-6258371,Earlsfort Terrace,11,2015-09-13T15:47:18.538Z,20150913154806
33,13,7,33,33,53351182,-6269859,Bolton Street,3,2015-09-13T15:44:38.442Z,20150913154806
34,0,30,34,34,53336485,-6248174,James Street East,20,2015-09-13T15:47:18.276Z,20150913154806
35,11,9,35,35,53359246,-6269779,Eccles Street,12,2015-09-13T15:47:18.589Z,20150913154806
36,3,16,36,36,53352149,-6260533,Cathal Brugha Street,24,2015-09-13T15:44:38.532Z,20150913154806
37,34,1,37,37,53347082,-6264192,Strand Street Great,46,2015-09-13T15:47:18.328Z,20150913154806
38,18,12,38,38,53336074,-6252825,Fitzwilliam Square West,13,2015-09-13T15:47:18.638Z,20150913154806
39,28,2,39,39,53344603,-6263371,Fownes Street Upper,14,2015-09-13T15:47:18.687Z,20150913154806
40,2,38,40,40,53335742,-6245510,Herbert Street,47,2015-09-13T15:47:18.375Z,20150913154806
41,20,0,41,41,53350929,-6265125,Parnell Street,31,2015-09-13T15:44:38.605Z,20150913154806
42,7,23,42,42,53337494,-6261990,St. Stephen'S Green South,37,2015-09-13T15:47:18.729Z,20150913154806
43,26,4,43,43,53344304,-6250427,Pearse Street,32,2015-09-13T15:44:38.684Z,20150913154806
44,20,20,44,44,53347777,-6244239,Excise Walk,48,2015-09-13T15:47:18.418Z,20150913154806
45,2,38,45,45,53350974,-6252940,Talbot Street,38,2015-09-13T15:47:18.78Z,20150913154806
46,15,15,46,46,53348279,-6254662,Custom House,23,2015-09-13T15:47:18.461Z,20150913154806
47,0,20,47,47,53347508,-6252192,Georges Quay,16,2015-09-13T15:47:18.837Z,20150913154806
48,22,8,48,48,53342180,-6254485,Leinster Street South,21,2015-09-13T15:47:18.518Z,20150913154806
49,9,11,49,49,53332383,-6252717,Wilton Terrace,39,2015-09-13T15:47:18.889Z,20150913154806
50,12,8,50,50,53345922,-6254614,Townsend Street,22,2015-09-13T15:47:18.568Z,20150913154806
51,20,1,51,51,53348300,-6266651,Jervis Street,40,2015-09-13T15:47:18.94Z,20150913154806
52,32,8,52,52,53346603,-6296924,Heuston Station (Central),93,2015-09-13T15:47:18.617Z,20150913154806
53,18,12,53,53,53349562,-6278198,Smithfield North,42,2015-09-13T15:47:18.987Z,20150913154806
54,12,28,54,54,53337757,-6267699,Kevin Street,71,2015-09-13T15:47:18.132Z,20150913154806
55,8,32,55,55,53337132,-6260590,Newman House,53,2015-09-13T15:47:18.67Z,20150913154806
56,22,18,56,56,53345203,-6247163,Sandwith Street,64,2015-09-13T15:47:18.715Z,20150913154806
57,10,30,57,57,53337960,-6241530,Mount Street Lower,56,2015-09-13T15:47:19.032Z,20150913154806
58,22,18,58,58,53344115,-6237153,Hanover Quay,68,2015-09-13T15:47:18.184Z,20150913154806
59,15,5,59,59,53343368,-6270120,Christchurch Place,6,2015-09-13T15:47:18.105Z,20150913154806
60,15,25,60,60,53339218,-6240642,Sir Patrick Dun'S,58,2015-09-13T15:47:18.759Z,20150913154806
61,18,22,61,61,53347932,-6240928,Guild Street,49,2015-09-13T15:47:18.237Z,20150913154806
62,20,20,62,62,53339334,-6264699,York Street West,51,2015-09-13T15:47:18.154Z,20150913154806
63,5,15,63,63,53332763,-6257942,Harcourt Terrace,41,2015-09-13T15:47:18.287Z,20150913154806
64,21,11,64,64,53338755,-6262003,York Street East,52,2015-09-13T15:47:18.203Z,20150913154806
65,25,15,65,65,53341359,-6292951,St James Hospital (Luas),80,2015-09-13T15:47:18.809Z,20150913154806
66,9,24,66,66,53336021,-6262980,Clonmel Street,54,2015-09-13T15:47:18.266Z,20150913154806
67,0,31,67,67,53343105,-6277167,John Street West,72,2015-09-13T15:47:18.859Z,20150913154806
68,1,39,68,68,53343456,-6287409,James Street,75,2015-09-13T15:47:18.335Z,20150913154806
69,22,16,69,69,53342296,-6287661,Market Street South,76,2015-09-13T15:47:18.315Z,20150913154806
70,17,23,70,70,53359967,-6264828,Mater Hospital,78,2015-09-13T15:47:18.39Z,20150913154806
71,28,12,71,71,53347440,-6238523,Convention Centre,65,2015-09-13T15:47:18.364Z,20150913154806
72,23,0,72,72,53349013,-6260311,Princes Street / O'Connell Street,33,2015-09-13T15:47:18.169Z,20150913154806
73,29,0,73,73,53348875,-6267459,Wolfe Tone Street,77,2015-09-13T15:47:18.44Z,20150913154806
74,1,29,74,74,53343893,-6280531,Oliver Bond Street,74,2015-09-13T15:47:18.412Z,20150913154806
75,16,24,75,75,53341655,-6236198,Barrow Street,70,2015-09-13T15:47:18.498Z,20150913154806
76,6,24,76,76,53334432,-6245575,Herbert Place,19,2015-09-13T15:47:18.468Z,20150913154806
77,17,22,77,77,53342638,-6238695,Grand Canal Dock,69,2015-09-13T15:47:18.551Z,20150913154806
78,20,0,78,78,53355610,-6261397,Denmark Street Great,59,2015-09-13T15:47:18.512Z,20150913154806
79,2,28,79,79,53342081,-6275233,Francis Street,73,2015-09-13T15:47:18.602Z,20150913154806
80,10,20,80,80,53359624,-6260348,North Circular Road,60,2015-09-13T15:47:18.569Z,20150913154806
81,14,26,81,81,53346867,-6230852,The Point,67,2015-09-13T15:47:18.647Z,20150913154806
82,0,30,82,82,53341805,-6305085,Kilmainham Lane,96,2015-09-13T15:47:18.615Z,20150913154806
83,9,11,83,83,53356769,-6268140,Blessington Street,2,2015-09-13T15:47:18.692Z,20150913154806
84,5,35,84,84,53343897,-6297060,Royal Hospital,95,2015-09-13T15:47:18.662Z,20150913154806
85,0,38,85,85,53347477,-6285250,Collins Barracks Museum,87,2015-09-13T15:47:18.739Z,20150913154806
86,0,30,86,86,53348800,-6281637,Blackhall Place,88,2015-09-13T15:47:18.787Z,20150913154806
87,0,36,87,87,53342113,-6310015,Kilmainham Gaol,97,2015-09-13T15:47:18.709Z,20150913154806
88,3,37,88,88,53346985,-6297804,Heuston Station (Car Park),94,2015-09-13T15:47:18.761Z,20150913154806
89,2,38,89,89,53344153,-6233451,Benson Street,90,2015-09-13T15:47:18.838Z,20150913154806
90,26,14,90,90,53341515,-6256853,Frederick Street South,98,2015-09-13T15:47:18.812Z,20150913154806
91,27,3,91,91,53341833,-6231291,South Dock Road,91,2015-09-13T15:47:18.892Z,20150913154806
92,11,29,92,92,53339983,-6295594,St. James Hospital (Central),81,2015-09-13T15:47:18.86Z,20150913154806
93,0,40,93,93,53347802,-6292432,Heuston Bridge (North),92,2015-09-13T15:47:18.938Z,20150913154806
94,0,22,94,94,53341645,-6297190,Mount Brown,82,2015-09-13T15:47:18.988Z,20150913154806
95,12,17,95,95,53340962,-6262287,Chatham Street,1,2015-09-13T15:47:18.914Z,20150913154806
96,28,2,96,96,53334123,-6265436,Grantham Street,18,2015-09-13T15:47:18.975Z,20150913154806
97,7,16,97,97,53339629,-6243778,Grattan Street,57,2015-09-13T15:47:19.032Z,20150913154806
98,0,16,98,98,53355473,-6264423,Hardwicke Street,15,2015-09-13T15:47:19.023Z,20150913154806
99,2,34,99,99,53334030,-6260714,Hatch Street,55,2015-09-13T15:47:19.081Z,20150913154806
100,14,6,100,100,53340803,-6267732,Golden Lane,17,2015-09-13T15:47:19.072Z,20150913154806
